prNumber,Util,APM,Network,DB,Error.Handling,Logging,Lang,Data.Structure,i18n,Setup,Logic,IO,UI,Parser,Event.Handling,App,GIS,Multimedia,CG,corpus
1345,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,resolves: #1159depends on pr: #1328extract a tool-kit neutral library for some mathematical and sample-processing utilities  make only the library directly dependent on libsoxrnote that only the last five commits are proper to this pr- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1159  depends on pr: #1328  extract a tool-kit neutral library for some mathematical and sample-processing utilities.  make only the library directly dependent on libsoxr  note that only the last five commits are proper to this pr.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1345,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1159depends on pr: #1328extract a tool-kit neutral library for some mathematical and sample-processing utilities  make only the library directly dependent on libsoxrnote that only the last five commits are proper to this pr- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1159  depends on pr: #1328  extract a tool-kit neutral library for some mathematical and sample-processing utilities.  make only the library directly dependent on libsoxr  note that only the last five commits are proper to this pr.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1359,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,resolves: #1160a library for general file handling utilities and definitions of certain significant file paths which does not depend on wxcore though it does still depend heavily on wxbase- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1160  a library for general file handling utilities  and definitions of certain significant file paths  which does not depend on wxcore  though it does still depend heavily on wxbase.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1359,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,resolves: #1160a library for general file handling utilities and definitions of certain significant file paths which does not depend on wxcore though it does still depend heavily on wxbase- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1160  a library for general file handling utilities  and definitions of certain significant file paths  which does not depend on wxcore  though it does still depend heavily on wxbase.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1359,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,resolves: #1160a library for general file handling utilities and definitions of certain significant file paths which does not depend on wxcore though it does still depend heavily on wxbase- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1160  a library for general file handling utilities  and definitions of certain significant file paths  which does not depend on wxcore  though it does still depend heavily on wxbase.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1377,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,resolves: #1376 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1376   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1377,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,resolves: #1376 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1376   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1416,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,resolves: #1403beginnings of built-in tools for easy creation of automated functional regression tests in alpha builds onlycertain events can be recorded to journaltxt in the folder with audacitycfg if this has been enabled in the tools menu and then played back if that file is specified with the -j command line optionso far only menu items that require no dialogs (or their shortcut keystroke equivalents or certain toolbar buttons that invoke those commands) can be played back  some simple sessions -- such as just exiting the program -- can replayaudacity returns a non-zero status to the shell if journal playback fails because the programs state is out-of-sync with what the journal file expects  no examples yet of how to force that failure<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1403  beginnings of built-in tools for easy creation of automated functional regression tests  in alpha builds only.  certain events can be recorded to journal.txt in the folder with audacity.cfg  if this has been enabled in the tools menu  and then played back  if that file is specified with the -j command line option.  so far  only menu items that require no dialogs (or their shortcut keystroke equivalents  or certain toolbar buttons that invoke those commands) can be played back.  some simple sessions -- such as just exiting the program -- can replay.  audacity returns a non-zero status to the shell if journal playback fails  because the program s state is out-of-sync with what the journal file expects.  no examples yet of how to force that failure.  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1416,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1403beginnings of built-in tools for easy creation of automated functional regression tests in alpha builds onlycertain events can be recorded to journaltxt in the folder with audacitycfg if this has been enabled in the tools menu and then played back if that file is specified with the -j command line optionso far only menu items that require no dialogs (or their shortcut keystroke equivalents or certain toolbar buttons that invoke those commands) can be played back  some simple sessions -- such as just exiting the program -- can replayaudacity returns a non-zero status to the shell if journal playback fails because the programs state is out-of-sync with what the journal file expects  no examples yet of how to force that failure<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1403  beginnings of built-in tools for easy creation of automated functional regression tests  in alpha builds only.  certain events can be recorded to journal.txt in the folder with audacity.cfg  if this has been enabled in the tools menu  and then played back  if that file is specified with the -j command line option.  so far  only menu items that require no dialogs (or their shortcut keystroke equivalents  or certain toolbar buttons that invoke those commands) can be played back.  some simple sessions -- such as just exiting the program -- can replay.  audacity returns a non-zero status to the shell if journal playback fails  because the program s state is out-of-sync with what the journal file expects.  no examples yet of how to force that failure.  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1429,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,resolves: #1163library of useful utilities for decoupling of sub-systems and making them open-ended -- the big o of solidbeware!   here be dragons  much use of c++ templates- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1163  library of useful utilities for decoupling of sub-systems and making them open-ended -- the big o of solid.  beware!   here be dragons.  much use of c++ templates.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1429,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1163library of useful utilities for decoupling of sub-systems and making them open-ended -- the big o of solidbeware!   here be dragons  much use of c++ templates- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1163  library of useful utilities for decoupling of sub-systems and making them open-ended -- the big o of solid.  beware!   here be dragons.  much use of c++ templates.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1437,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,resolves: #1363 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1363   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1437,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1363 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1363   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1441,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0, which broke at a2f109dresolves: #1421 resolves: #1369events were failing to be processed because event types were set incorrectly- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  ... which broke at a2f109d  resolves: #1421  resolves: #1369  events were failing to be processed because event types were set incorrectly.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1441,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0, which broke at a2f109dresolves: #1421 resolves: #1369events were failing to be processed because event types were set incorrectly- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  ... which broke at a2f109d  resolves: #1421  resolves: #1369  events were failing to be processed because event types were set incorrectly.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1441,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0, which broke at a2f109dresolves: #1421 resolves: #1369events were failing to be processed because event types were set incorrectly- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  ... which broke at a2f109d  resolves: #1421  resolves: #1369  events were failing to be processed because event types were set incorrectly.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1441,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, which broke at a2f109dresolves: #1421 resolves: #1369events were failing to be processed because event types were set incorrectly- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  ... which broke at a2f109d  resolves: #1421  resolves: #1369  events were failing to be processed because event types were set incorrectly.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1475,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,resolves: #1375 resizing area added to the wavetrackview and wavetrackaffordancecontrol making possible to have an enlarged resizing area with 1px distance between channels<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1375   resizing area added to the wavetrackview and wavetrackaffordancecontrol  making possible to have an enlarged resizing area with 1px distance between channels.  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1475,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1375 resizing area added to the wavetrackview and wavetrackaffordancecontrol making possible to have an enlarged resizing area with 1px distance between channels<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1375   resizing area added to the wavetrackview and wavetrackaffordancecontrol  making possible to have an enlarged resizing area with 1px distance between channels.  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1478,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,resolves: #1158extract a library for serialization and deserialization of objects in xml form and a registry for serializable objectsattached directly to the project- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1158  extract a library for serialization and deserialization of objects in xml form  and a registry for serializable objects attached directly to the project.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1478,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,resolves: #1158extract a library for serialization and deserialization of objects in xml form and a registry for serializable objectsattached directly to the project- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1158  extract a library for serialization and deserialization of objects in xml form  and a registry for serializable objects attached directly to the project.  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1482,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,resolves: #1404the journalling system is now enhanced enough that it can replay some interactions with modal dialogs including pushbuttons choice controls text boxes and sliders<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1404  the journalling system is now enhanced enough that it can replay some interactions with modal dialogs  including pushbuttons  choice controls  text boxes  and sliders.  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1482,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves: #1404the journalling system is now enhanced enough that it can replay some interactions with modal dialogs including pushbuttons choice controls text boxes and sliders<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1404  the journalling system is now enhanced enough that it can replay some interactions with modal dialogs  including pushbuttons  choice controls  text boxes  and sliders.  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1495,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,resolves: #1496rewrite dithercpp more clearly with c++ functions not macrosjust a preliminary to a preliminary to some audioio cleanup<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1496  rewrite dither.cpp more clearly with c++ functions  not macros.  just a preliminary to a preliminary to some audioio cleanup...  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1495,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,resolves: #1496rewrite dithercpp more clearly with c++ functions not macrosjust a preliminary to a preliminary to some audioio cleanup<!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves: #1496  rewrite dither.cpp more clearly with c++ functions  not macros.  just a preliminary to a preliminary to some audioio cleanup...  <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1502,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,resolves #1501 resolves #1476 resolves #1477 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves #1501  resolves #1476  resolves #1477   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1502,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,resolves #1501 resolves #1476 resolves #1477 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves #1501  resolves #1476  resolves #1477   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
1502,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,resolves #1501 resolves #1476 resolves #1477 <!-- use "x" to fill the checkboxes below like [x] -->- [x] i signed [cla](https://wwwaudacityteamorg/cla/)- [x] i made sure the code compiles on my machine- [x] i made sure there are no unnecessary changes in the code- [x] i made sure the title of the pr reflects the core meaning of the issue you are solving- [x] i made sure the commit message(s) contain a description and answer the question "why do those changes fix that particular issue?" or "why are those changes really necessary as improvements?"  resolves #1501  resolves #1476  resolves #1477   <!-- use  x  to fill the checkboxes below like [x] -->  - [x] i signed [cla](https://www.audacityteam.org/cla/) - [x] i made sure the code compiles on my machine - [x] i made sure there are no unnecessary changes in the code - [x] i made sure the title of the pr reflects the core meaning of the issue you are solving - [x] i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements? 
