prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,Data.Structure,i18n,DevOps,Logic,Microservices,Test,Search,IO,UI,Parser,Security,App,corpus
1149,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Replace NormalizeNamesFormatter by AuthorList and so fix #318
1149,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Replace NormalizeNamesFormatter by AuthorList and so fix #318
1149,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Replace NormalizeNamesFormatter by AuthorList and so fix #318
1149,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Replace NormalizeNamesFormatter by AuthorList and so fix #318
1149,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,Replace NormalizeNamesFormatter by AuthorList and so fix #318
1149,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,Replace NormalizeNamesFormatter by AuthorList and so fix #318
1168,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,Fix #1163 by removing the strange functionality which enabled sorting…
1168,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Fix #1163 by removing the strange functionality which enabled sorting…
1168,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fix #1163 by removing the strange functionality which enabled sorting…
1168,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,Fix #1163 by removing the strange functionality which enabled sorting…
1168,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,Fix #1163 by removing the strange functionality which enabled sorting…
1168,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,Fix #1163 by removing the strange functionality which enabled sorting…
1207,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,Restructure importers
1207,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,Restructure importers
1207,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Restructure importers
1207,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,Restructure importers
1207,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,Restructure importers
1207,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Restructure importers
1215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Improved conversion maps and conversion speed
1215,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,Improved conversion maps and conversion speed
1215,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Improved conversion maps and conversion speed
1217,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,Added integrity checker for odd number of #
1217,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Added integrity checker for odd number of #
1217,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Added integrity checker for odd number of #
1217,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,Added integrity checker for odd number of #
1217,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Added integrity checker for odd number of #
1217,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Added integrity checker for odd number of #
1229,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix #1091 apply and ensure correct import sort order
1229,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Fix #1091 apply and ensure correct import sort order
1229,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,Fix #1091 apply and ensure correct import sort order
1229,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix #1091 apply and ensure correct import sort order
1229,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,Fix #1091 apply and ensure correct import sort order
1229,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Fix #1091 apply and ensure correct import sort order
1238,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Added integrity checker to detect HTML encoded characters in fields
1238,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,Added integrity checker to detect HTML encoded characters in fields
1238,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Added integrity checker to detect HTML encoded characters in fields
1246,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Fixed #1245
1246,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,Fixed #1245
1246,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,Fixed #1245
1246,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Fixed #1245
1246,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fixed #1245
1246,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Fixed #1245
1278,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Tried to fix #1251  but all tests pass...
1278,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,Tried to fix #1251  but all tests pass...
1278,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,Tried to fix #1251  but all tests pass...
1281,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,Replace BibtexEntryAssert by overwriting BibEntry.equals method
1281,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Replace BibtexEntryAssert by overwriting BibEntry.equals method
1281,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Replace BibtexEntryAssert by overwriting BibEntry.equals method
1282,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Fix #1271: Authors with compound first names are parsed properly
1282,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,Fix #1271: Authors with compound first names are parsed properly
1298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Added option to copy version information in the about dialog
1298,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,Added option to copy version information in the about dialog
1300,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Resolves #1290 Change Jabref help to Online help
1300,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,Resolves #1290 Change Jabref help to Online help
1304,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Implemented Jstyle file filter and opening in last dir
1304,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,Implemented Jstyle file filter and opening in last dir
1310,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix #1295 NPE when sorting tabs
1310,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,Fix #1295 NPE when sorting tabs
1318,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Update Localization instructions
1318,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,Update Localization instructions
1336,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,Refactor Open and Save Dialogs
1336,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,Refactor Open and Save Dialogs
1349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Fix #1347 Open URLs does not work with query strings
1349,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,Fix #1347 Open URLs does not work with query strings
1350,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,Fix NPE on selecting invalid jstyle
1350,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,Fix NPE on selecting invalid jstyle
1355,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Update Preview Panel on Generate BibtexKey
1355,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,Update Preview Panel on Generate BibtexKey
1368,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Removed possibility to automatically add braces via Option - Preferen…
1368,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,Removed possibility to automatically add braces via Option - Preferen…
1369,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Fix #1313: Remove UI as the checkbox is no longer backed by a config …
1369,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,Fix #1313: Remove UI as the checkbox is no longer backed by a config …
1369,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Fix #1313: Remove UI as the checkbox is no longer backed by a config …
1369,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,Fix #1313: Remove UI as the checkbox is no longer backed by a config …
1383,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Implemented error console in JavaFX
1384,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,Fix #1334: Display correct number of entries in static groups
1388,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fix sorting issue #1357
1389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Fix #1381 File links containing blanks are broken if non-default viewer is set
1397,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,add fields for nbibImporter and add testfile
1401,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Fix #1399 export to html: html code is not well-formed
1409,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Cleanup guiglobals
1440,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Fix #1420 Auto downloader should respect file pattern and propose correct filename
1443,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Fix #651: Improve parsing of author names containing braces
1453,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,Refactor placement of parsing and writing logic
1459,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,create update checker for the enduser
1460,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,Fix #1455 NPE when retrieving BibteX data from DOI
1460,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,Fix #1455 NPE when retrieving BibteX data from DOI
1471,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Preserve user comments in bib file
1474,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix #1434: Static groups are now longer displayed as dynamic ones
1479,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,Rewrite MedlineImporter with JAXB and add nbib fields
1483,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,Fixes #1482: Correct number of matched entries is displayed for refining subgroups
1486,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fixes #1485 Export shorttitle as standard field
1487,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Implement getExtension and getDescription for importers
1511,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fixes #1507: Keywords are now separated by the delimiter specified in the preferences
1549,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Searchbar across all bib files instead each having its own
1563,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Added button to crossref entry editor field to select parent entry
1567,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,Fix 1530: Integrity checker should ignore unescaped hashes in url field
1572,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Implement 1356
1581,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Fixed #1264
1581,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Fixed #1264
1581,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Fixed #1264
1583,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Fixed #1527 and some refactoring/cleanups
1584,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Added layout DateFormatter  see #1249
1584,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Added layout DateFormatter  see #1249
1589,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,Implement 1516
1590,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Implemented #1345 - cleanup ISSN
1599,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,Fixed #1592
1599,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,Fixed #1592
1601,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Move event
1604,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Move preferences
1616,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Resolves #1613 Use Jabref default icon for uninstaller for now
1622,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Improved LaTeX to Unicode/HTML formatters to output more sensible val…
1638,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Keep @Comment text in a bib file
1666,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,Rewrite bibtexml importer with JAXB parser
1666,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,Rewrite bibtexml importer with JAXB parser
1671,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix #1288 Newly opened bib-file is not focused
1678,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,Fixed OO/LO manual connection dialog on Linux
1683,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,Do not cite entries without a key in OpenOffice/LibreOffice (#1682)
1717,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Fixes broken serialization of bibentries containing an @
1733,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,Fixed ConcurrentModificationException when removing a field in the so…
1755,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fixed name column rendering #1499 and #1531
1755,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fixed name column rendering #1499 and #1531
1755,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fixed name column rendering #1499 and #1531
1765,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,Export to Office 2007
1770,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Implements #1767: Add Help Button to access new help page
1774,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,Fix #1771 Show all supported import types as default file filter
1780,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,Fix arxiv fetcher not working correctly
1791,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,Removed JabRefPreferences dependency in FileUtil and removed TimeStamp
1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Improved main table rendering when using e.g. title/author
1812,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,Fix #1803 Working directory is set to full path including filename
1815,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,Fix delete entry keybindings bug
1823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fixed #1804: URL field is not removed by integrity check
1837,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Fixes #1687 "month" field ascending/descending sorting swapped
1848,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Allow setting the etal-string empty. Implements #1841
1848,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Allow setting the etal-string empty. Implements #1841
1857,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fixed NPE when loading a style file that has no default style
1865,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fixed #1663 Better multi-monitor support
1869,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,Download many files in one go
1893,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,Fix Invalid Bibtexkey freeze
1894,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Implemented title and camel key modifiers
1899,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Move files to subfolders in file directory
1899,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Move files to subfolders in file directory
1906,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Check Integrity year check added
1914,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Check integrity edition check implemented
1926,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,Extract all Integrity checker classes to its own file
1928,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Support CitationStyles
1931,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Export number field as number if not patent or issue in office 07 xml
1934,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Removed external dependency in logic
1942,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,Mods importer
1944,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,Try around with XMLUnit
1950,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Towards hierarchical keywords
1950,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Towards hierarchical keywords
1950,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Towards hierarchical keywords
1952,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,Fix wrong path in error message
1962,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Minor improvements to the JavaFX about dialog
1970,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fixes #1958: Verbatim URL field is no longer checked for HTML encoded chars
1989,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Rewrite mods exporter and add test for it
2005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Check avaiable help lanugages when opening specific help page
2015,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Implemented Integrity MonthChecker
2027,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Disable context menu action on selection of multiple entries
2028,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,[WIP] Fix ris import
2028,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,[WIP] Fix ris import
2031,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Fix localization task hints
2034,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,Fix bad web search error messages
2040,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Right click menus should allow copying doi url
2043,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,Use parallel stream while searching
2055,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix ignore version
2066,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Medline Fetcher using new infrastructure
2067,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Undo #2002
2069,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,Fix changing the font size not working when importing preferences
2070,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix execution of preference migrations
2075,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Other fields fix and changes
2082,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,Quick fix google scholar entry fetching
2088,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,[WIP] Rewrite mods exporter and add test
2094,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Make all files selectable in file chooser dialogs
2102,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,Store LaTeX-free fields in BibEntry
2102,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,Store LaTeX-free fields in BibEntry
2106,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,Crash after saving BibTeX source with parsing error
2114,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Ctrl-s parsing error message
2121,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Fix codecov issue
2145,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Change download URL to downloads.jabref.org
2161,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,Fix group drag and drop
2161,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,Fix group drag and drop
2162,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,Specialfields refactoring
2163,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Fix highlighting issues
2169,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,fix failing ADS test
2175,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Fix memory leak in entry editor
2179,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Clear bibtexkey exception
2196,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Fix for #2184: Add space after separator
2198,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Integrity hotkey
2212,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Improvements to the JavaFX Error Console
2213,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Fix strange styling behaviour of the error console
2223,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,Fixes #2222 URLDownload now resolves redirects by default
2225,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Fix editor freeze
2226,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,Fix for #2218: Reenable ADS fetcher
2229,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,Fix medline fetcher by using https
2236,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,BibLaTeX mode: Add month and year field to deprecated tab
2262,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,Change log level to debug
2266,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,When an ISBN is not available on ebook.de  the error message is more clear.
2283,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Implement #1359: collect telemetry
2295,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Fix "No suitable driver found"
2300,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Fix local metadata synchronization (fixes: #2219)
2301,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Readd Drop Down content selectors
2314,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,Rework DBLPFetcher to new structure
2328,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,Add bibtex key deviation check
2331,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Improve entrytype customization
2331,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Improve entrytype customization
2331,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Improve entrytype customization
2331,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Improve entrytype customization
2331,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,Improve entrytype customization
2339,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Fix biblatex cleanup for date field
2344,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Follow up for #1323 Batch Fulltext downloader
2348,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Fix #1446 Only add non empty paths
2349,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,Integrity checker improvements
2358,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Fix Issue 2012: Use bibtexformat for month field in medlinefetcher
2361,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,Fix a few group related issues
2361,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,Fix a few group related issues
2361,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,Fix a few group related issues
2364,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Be more friendly when using journal alias field
2364,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Be more friendly when using journal alias field
2368,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Never manually set ID of a BibEntry
2372,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Relevance and Read status Field actions were switched
2375,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,Preserve % sign inside BibTeX fields via cleanup
2388,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Rename "XMP data" to "XMP-metadata"
2396,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,[WIP] Introduce explicit list of ALL_BIBLATEX_ONLY_FIELDS
2400,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Fix #2394 groups matching with brackets in name
2405,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,Datepicker fix
2414,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Replace calls of BibtexParser.parse
2415,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix several File Cleanup + Rename issues
2415,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix several File Cleanup + Rename issues
2415,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Fix several File Cleanup + Rename issues
2416,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,Fix "collapse sub tree" functionality for groups tree
2425,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,Fix #2417: DOI no longer contains URL
2428,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,Fix #2427: Arxiv fetcher works with prefix
2438,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Follow up #2428
2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Fix conversion of tilde n
2464,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fix conversion of "n" and "\{n}" from LaTeX to Unicode
2473,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Remove html code from ACM fetcher
2487,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,Make sure that unregistered event sources do not stop JabRef from shu…
2496,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Change key binding for cleanup from F8 to ALT+F8
