prNumber,Util,APM,Network,DB,Error.Handling,Logging,Lang,Data.Structure,i18n,Setup,Logic,IO,UI,Parser,Event.Handling,App,GIS,Multimedia,CG,corpus
1836,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,change default spectrogram settings  change default spectrogram settings 
1840,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,fix event handling in wavetrackaffordancecontrol  fix event handling in wavetrackaffordancecontrol 
1840,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,fix event handling in wavetrackaffordancecontrol  fix event handling in wavetrackaffordancecontrol 
1841,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,adds "whats new" link to the splash dialog  adds  what s new  link to the splash dialog 
1841,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,adds "whats new" link to the splash dialog  adds  what s new  link to the splash dialog 
1843,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,multi tool shortcut is again f6 not f5  multi tool shortcut is again f6 not f5 
1843,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,multi tool shortcut is again f6 not f5  multi tool shortcut is again f6 not f5 
1848,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,right channel delete key behavior  right channel delete key behavior 
1848,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,right channel delete key behavior  right channel delete key behavior 
1848,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,right channel delete key behavior  right channel delete key behavior 
1848,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,right channel delete key behavior  right channel delete key behavior 
1854,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,issue #1838: screen readers should read labels when tabbing  issue #1838: screen readers should read labels when tabbing 
1854,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,issue #1838: screen readers should read labels when tabbing  issue #1838: screen readers should read labels when tabbing 
1857,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,issue 1710 compromise  issue 1710 compromise 
1857,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,issue 1710 compromise  issue 1710 compromise 
1864,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,issue #1863: add names of clips to messages for screen readers  issue #1863: add names of clips to messages for screen readers 
1865,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,fix text edit shortcuts  fix text edit shortcuts 
1871,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,issue #1870: feedback for screen readers when tabbing to clips  issue #1870: feedback for screen readers when tabbing to clips 
1872,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,exit editing of clip a name and redraw when a trackpanel loses focus  exit editing of clip a name and redraw when a trackpanel loses focus 
1874,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,fix clip name editing  fix clip name editing 
1874,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,fix clip name editing  fix clip name editing 
1883,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,avoid drawing text outside the clipping rectangle if possible  avoid drawing text outside the clipping rectangle if possible 
1894,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,less laggy response of looping playback to change of region bounds  less laggy response of looping playback to change of region bounds... 
1898,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,customizable ctrl+f2 not hard-coded return to edit clip names  customizable ctrl+f2 not hard-coded return to edit clip names... 
1914,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,allow the application appearance to match the theme on macos  allow the application appearance to match the theme on macos 
1916,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix bug with lof unicode using  fix bug with lof unicode using. 
1930,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,click-away from trackpanel (still in audacity) ends clip name edit  click-away from trackpanel (still in audacity) ends clip name edit... 
1936,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix recording to a new track  fix recording to a new track 
1938,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,fix tab usage in wavetrack  fix tab usage in wavetrack 
1940,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,adds an ability to change projects user_version based on features used  adds an ability to change project s user_version based on features used 
1947,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,issue #1934: renaming clip using the keyboard  issue #1934: renaming clip using the keyboard 
1950,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,playback looping drags  playback looping drags 
1950,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,playback looping drags  playback looping drags 
1950,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,playback looping drags  playback looping drags 
1958,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,fixes splash screen size when whats new is shown  fixes splash screen size when what s new is shown 
1965,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,fix crash on looping play seen on windows  fix crash on looping play seen on windows... 
1967,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,snapping when dragging whole play region leaves length unchanged  snapping when dragging whole play region leaves length unchanged 
1976,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,fixes alt key behavior if track is present  fixes alt key behavior if track is present 
1978,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,change shortcut for renaming label to hardcoded ctrl+f2  change shortcut for renaming label to hardcoded ctrl+f2 
1981,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,clips visibility  clips visibility 
1985,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,fix for text navigation with arrows  fix for text navigation with arrows 
1992,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,issue #1924: starting play with empty selection loop disabled  issue #1924: starting play with empty selection  loop disabled... 
1993,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,fix timeline hot zones  fix timeline hot zones 
2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fix playback policies  fix playback policies 
2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fix playback policies  fix playback policies 
2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fix playback policies  fix playback policies 
2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fix playback policies  fix playback policies 
2007,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,minor looping region ui fixes  minor looping region ui fixes 
2013,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,issue 1990: fix clip rename history  issue 1990: fix clip rename history 
2014,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,issue 1969: fix recording starting position  issue 1969: fix recording starting position 
2015,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,initialize play region to be invalid region  initialize play region to be invalid region 
2023,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,adds a checkmark to "loop on/off" menu  adds a checkmark to  loop on/off  menu 
2030,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,fix manual link  fix manual link 
2039,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,fix envelope drawing again  fix envelope drawing again 
